date,inventory_payment,shipping_cost,processing_fee,marketing_expense,platform_fee,fixed_costs,total_outflows
2017-10-18,0.0,4244.07,861.6258000000001,6300.376,3150.188,1666.6666666666667,16222.926466666666
2017-10-19,0.0,3674.17,1120.46655,5374.576000000001,2687.2880000000005,1666.6666666666667,14523.167216666667
2017-10-20,0.0,2928.1,1212.33945,4294.280000000001,2147.1400000000003,1666.6666666666667,12248.526116666666
2017-10-21,0.0,2536.18,1066.70585,3420.364,1710.182,1666.6666666666667,10400.098516666667
2017-10-22,0.0,3435.83,908.89225,4634.298000000001,2317.1490000000003,1666.6666666666667,12962.835916666669
2017-10-23,0.0,3514.84,709.0405000000001,5096.3640000000005,2548.1820000000002,1666.6666666666667,13535.093166666667
2017-10-24,0.0,3659.61,638.0066,5142.318,2571.159,1666.6666666666667,13677.760266666666
2017-10-25,0.0,3224.5299999999997,1045.55535,4146.318,2073.159,1666.6666666666667,12156.229016666666
2017-10-26,0.0,3726.55,773.39535,5115.668000000001,2557.8340000000003,1666.6666666666667,13840.114016666666
2017-10-27,0.0,2774.87,737.10105,4631.612,2315.806,1666.6666666666667,12126.055716666666
2017-10-28,0.0,2438.87,799.2365500000002,3784.496,1892.248,1666.6666666666667,10581.517216666665
2017-10-29,0.0,2999.57,816.3106,4011.0340000000006,2005.5170000000003,1666.6666666666667,11499.098266666668
2017-10-30,0.0,3038.68,771.6779,4568.336,2284.168,1666.6666666666667,12329.528566666666
2017-10-31,0.0,3033.53,770.8501500000001,5369.318,2684.659,1666.6666666666667,13525.023816666666
2017-11-01,0.0,2683.38,703.3936,4413.392,2206.696,1666.6666666666667,11673.528266666666
2017-11-02,0.0,2777.28,884.8605500000001,4788.22,2394.11,1666.6666666666667,12511.137216666668
2017-11-03,0.0,3192.1,882.8130500000001,5207.216,2603.608,1666.6666666666667,13552.403716666666
2017-11-04,0.0,3097.54,644.81795,4446.562000000001,2223.2810000000004,1666.6666666666667,12078.867616666668
2017-11-05,0.0,3530.05,921.97035,3994.936,1997.468,1666.6666666666667,12111.091016666667
2017-11-06,0.0,4460.62,951.1169500000001,6460.714,3230.357,1666.6666666666667,16769.474616666666
2017-11-07,0.0,3733.95,968.28795,4719.5160000000005,2359.7580000000003,1666.6666666666667,13448.178616666666
2017-11-08,0.0,3988.7999999999997,626.5595000000001,4636.666,2318.333,1666.6666666666667,13237.025166666666
2017-11-09,0.0,3800.25,941.8461500000001,5688.124,2844.062,1666.6666666666667,14940.948816666667
2017-11-10,0.0,3273.08,964.0295000000001,4459.388,2229.694,1666.6666666666667,12592.858166666667
2017-11-11,0.0,3370.99,821.1784000000001,5314.814,2657.407,1666.6666666666667,13831.056066666666
2017-11-12,0.0,3413.72,954.9879500000001,5200.396000000001,2600.1980000000003,1666.6666666666667,13835.968616666667
2017-11-13,0.0,4886.7,686.1120000000001,5812.006,2906.003,1666.6666666666667,15957.487666666666
2017-11-14,0.0,4229.22,982.0681500000001,6186.504000000001,3093.2520000000004,1666.6666666666667,16157.710816666668
