date,net_cash_inflow,inventory_payment,shipping_cost,processing_fee,marketing_expense,platform_fee,fixed_costs,total_outflows,net_daily_cash_flow,running_balance,cash_status,month
2017-09-26,16171.0,0.0,3544.45,565.985,3017.5751999999998,2514.646,833.3333333333334,10475.989533333333,5695.010466666667,322918.5157666668,healthy,2017-09
2017-09-27,16707.59,0.0,3436.31,584.76565,2889.9876,2408.323,833.3333333333334,10152.719583333334,6554.870416666667,329473.38618333347,healthy,2017-09
2017-09-28,20966.8,0.0,3068.18,733.8380000000001,3148.8959999999997,2624.08,833.3333333333334,10408.327333333333,10558.472666666667,340031.85885000014,healthy,2017-09
2017-09-29,24599.75,0.0,2812.96,860.99125,4041.0744,3367.5620000000004,833.3333333333334,11915.920983333333,12683.829016666667,352715.6878666668,healthy,2017-09
2017-09-30,22115.59,0.0,2096.13,774.04565,1665.7956,1388.163,833.3333333333334,6757.467583333334,15358.122416666665,368073.81028333347,healthy,2017-09
2017-10-01,23852.79,0.0,2998.46,834.8476500000002,2529.5807999999997,2107.984,833.3333333333334,9304.205783333335,14548.584216666666,382622.39450000017,healthy,2017-10
2017-10-02,33929.729999999996,0.0,3413.65,1187.54055,3021.3959999999997,2517.83,833.3333333333334,10973.749883333334,22955.980116666662,405578.3746166668,healthy,2017-10
2017-10-03,15590.09,0.0,4270.55,545.6531500000001,3646.6944,3038.9120000000003,833.3333333333334,12335.142883333334,3254.9471166666663,408833.32173333346,healthy,2017-10
2017-10-04,24474.63,0.0,3589.88,856.6120500000001,2974.5096,2478.758,833.3333333333334,10733.092983333334,13741.537016666667,422574.85875000013,healthy,2017-10
2017-10-05,26884.11,0.0,3585.02,940.9438500000001,3457.8527999999997,2881.544,833.3333333333334,11698.693983333333,15185.416016666668,437760.2747666668,healthy,2017-10
2017-10-06,28435.97,0.0,2899.66,995.2589500000001,2390.9304,1992.4420000000002,833.3333333333334,9111.624683333335,19324.345316666666,457084.62008333346,healthy,2017-10
2017-10-07,22280.46,0.0,2301.89,779.8161,2081.1468,1734.289,833.3333333333334,7730.475233333333,14549.984766666666,471634.6048500001,healthy,2017-10
2017-10-08,26676.88,0.0,2885.08,933.6908000000001,2330.8908,1942.409,833.3333333333334,8925.403933333335,17751.476066666666,489386.0809166668,healthy,2017-10
2017-10-09,19147.37,0.0,4573.84,670.15795,4017.1331999999998,3347.6110000000003,833.3333333333334,13442.075483333334,5705.294516666665,495091.37543333345,healthy,2017-10
2017-10-10,24388.510000000002,0.0,3633.73,853.5978500000001,3800.9352,3167.446,833.3333333333334,12289.042383333333,12099.467616666669,507190.84305000014,healthy,2017-10
2017-10-11,24260.17,0.0,3200.72,849.10595,2961.9827999999998,2468.319,833.3333333333334,10313.461083333334,13946.708916666665,521137.5519666668,healthy,2017-10
2017-10-12,26785.829999999998,0.0,3388.25,937.50405,2611.7075999999997,2176.4230000000002,833.3333333333334,9947.217983333334,16838.612016666666,537976.1639833335,healthy,2017-10
2017-10-13,28414.82,0.0,3465.32,994.5187000000001,3084.9359999999997,2570.78,833.3333333333334,10948.888033333335,17465.931966666663,555442.0959500001,healthy,2017-10
2017-10-14,27249.03,0.0,2640.5299999999997,953.71605,1935.7776,1613.1480000000001,833.3333333333334,7976.504983333332,19272.525016666666,574714.6209666668,healthy,2017-10
2017-10-15,22395.04,0.0,2498.99,783.8264000000001,2531.6459999999997,2109.705,833.3333333333334,8757.500733333332,13637.539266666668,588352.1602333335,healthy,2017-10
2017-10-16,21760.98,456090.102,4448.76,761.6343,4185.198,3487.6650000000004,833.3333333333334,469806.69263333327,-448045.7126333333,140306.4476000002,healthy,2017-10
2017-10-17,19728.3,0.0,4962.96,690.4905,4122.0876,3435.0730000000003,833.3333333333334,14043.944433333334,5684.355566666665,145990.80316666688,healthy,2017-10
2017-10-18,24617.88,0.0,4244.07,861.6258000000001,3780.2255999999998,3150.188,833.3333333333334,12869.442733333333,11748.437266666668,157739.24043333356,healthy,2017-10
2017-10-19,32013.33,0.0,3674.17,1120.46655,3224.7456,2687.2880000000005,833.3333333333334,11540.003483333336,20473.326516666668,178212.56695000024,healthy,2017-10
2017-10-20,34638.27,0.0,2928.1,1212.33945,2576.568,2147.1400000000003,833.3333333333334,9697.480783333334,24940.789216666664,203153.3561666669,healthy,2017-10
2017-10-21,30477.31,0.0,2536.18,1066.70585,2052.2183999999997,1710.182,833.3333333333334,8198.619583333333,22278.690416666668,225432.04658333358,healthy,2017-10
2017-10-22,25968.35,0.0,3435.83,908.89225,2780.5788000000002,2317.1490000000003,833.3333333333334,10275.783383333333,15692.566616666665,241124.61320000025,healthy,2017-10
2017-10-23,20258.3,0.0,3514.84,709.0405000000001,3057.8183999999997,2548.1820000000002,833.3333333333334,10663.214233333334,9595.085766666665,250719.6989666669,healthy,2017-10
2017-10-24,18228.76,0.0,3659.61,638.0066,3085.3908,2571.159,833.3333333333334,10787.499733333334,7441.260266666664,258160.9592333336,healthy,2017-10
2017-10-25,29873.01,0.0,3224.5299999999997,1045.55535,2487.7907999999998,2073.159,833.3333333333334,9664.368483333334,20208.641516666663,278369.6007500002,healthy,2017-10
2017-10-26,22097.01,0.0,3726.55,773.39535,3069.4008,2557.8340000000003,833.3333333333334,10960.513483333334,11136.496516666664,289506.09726666694,healthy,2017-10
2017-10-27,21060.03,0.0,2774.87,737.10105,2778.9672,2315.806,833.3333333333334,9440.077583333334,11619.952416666665,301126.0496833336,healthy,2017-10
2017-10-28,22835.33,0.0,2438.87,799.2365500000002,2270.6976,1892.248,833.3333333333334,8234.385483333333,14600.944516666668,315726.99420000025,healthy,2017-10
2017-10-29,23323.16,0.0,2999.57,816.3106,2406.6204000000002,2005.5170000000003,833.3333333333334,9061.351333333334,14261.808666666666,329988.8028666669,healthy,2017-10
2017-10-30,22047.94,0.0,3038.68,771.6779,2741.0016,2284.168,833.3333333333334,9668.860833333334,12379.079166666665,342367.8820333336,healthy,2017-10
2017-10-31,22024.29,0.0,3033.53,770.8501500000001,3221.5908,2684.659,833.3333333333334,10543.963283333334,11480.326716666666,353848.2087500002,healthy,2017-10
